20250723 033200;23250;23251.5;23249.75;23250.75;42
20250723 033300;23250.75;23251.75;23247;23247.75;50
20250723 033400;23247.75;23248.75;23246.5;23246.75;42
20250723 033500;23246.75;23247.75;23245;23246;42
20250723 033600;23245;23245;23235.75;23237.25;242
20250723 033700;23236.5;23238.5;23235.5;23238;46
20250723 033800;23237;23237;23234.5;23236.75;43
20250723 033900;23236.25;23241.25;23236.25;23241.25;47
20250723 034000;23240.75;23243;23240;23243;39
20250723 034100;23242.75;23243.75;23240.75;23241.5;29
20250723 034200;23241;23241.75;23240.25;23240.5;56
20250723 034300;23240;23240;23236.75;23238.25;69
20250723 034400;23239.25;23240.5;23239;23240.25;27
20250723 034500;23239.5;23239.5;23235.75;23236.25;118
20250723 034600;23236;23239.25;23234;23238;97
20250723 034700;23238;23238;23231.25;23235.75;106
20250723 034800;23236.25;23236.75;23235.75;23236.75;12
20250723 034900;23237;23242.75;23236.25;23242.25;84
20250723 035000;23242;23243.25;23240.25;23241.25;66
20250723 035100;23242.25;23244.75;23241;23244.25;30
20250723 035200;23244;23245.25;23242.75;23244.25;34
20250723 035300;23244.25;23244.75;23242.5;23242.5;26
20250723 035400;23243.25;23244.5;23242.5;23244;13
20250723 035500;23244;23244;23242;23243;17
20250723 035600;23243;23243.5;23241;23242.25;40
20250723 035700;23241.75;23243;23241.25;23241.25;36
20250723 035800;23241;23241.5;23240.75;23241;16
20250723 035900;23241.75;23242.75;23239.25;23240;17
20250723 040000;23239.75;23240.25;23236.25;23238.25;36
20250723 040100;23238.25;23239.25;23237.25;23237.25;22
20250723 040200;23237.5;23240;23237;23240;29
20250723 040300;23240;23241;23239.25;23240;25
20250723 040400;23239.5;23240.5;23238.75;23239.75;15
20250723 040500;23239.75;23239.75;23238;23239;20
20250723 040600;23239;23239;23237.5;23237.75;12
20250723 040700;23238;23238;23235.25;23236.5;34
20250723 040800;23235.5;23237.75;23235.5;23237.25;17
20250723 040900;23236;23236;23235;23235;16
20250723 041000;23235;23235;23232.5;23233.25;34
20250723 041100;23234;23235.5;23233.5;23234;35
20250723 041200;23233;23234.25;23232;23233.25;43
20250723 041300;23233.5;23236.5;23233.5;23236.25;31
20250723 041400;23236.25;23237.75;23236;23236.25;22
20250723 041500;23236;23236.5;23236;23236;3
20250723 041600;23236.5;23237;23234.25;23234.75;25
20250723 041700;23235.75;23236.75;23233;23233.75;31
20250723 041800;23233.5;23237.25;23233.5;23236.5;31
20250723 041900;23236.25;23240.25;23236.25;23238.75;41
20250723 042000;23239;23241;23237.75;23238;38
20250723 042100;23238.75;23240;23238.5;23238.5;17
20250723 042200;23238;23239;23238;23238.75;4
20250723 042300;23237.25;23238.25;23237;23238;17
20250723 042400;23238.5;23238.5;23235.5;23237.25;35
20250723 042500;23237.25;23238.75;23237.25;23237.75;16
20250723 042600;23238.75;23239.75;23238.75;23238.75;5
20250723 042700;23239;23239.5;23239;23239.5;3
